n,scenario,algorithm,time_us
100,best,brute,0.045
100,best,rowBS,0.0054
100,best,stair,0.0026
100,best,divide,0.41875
100,middle,brute,1.395
100,middle,rowBS,0.03335
100,middle,stair,0.06645
100,middle,divide,0.17885
100,worst,brute,3.195
100,worst,rowBS,0.0472
100,worst,stair,0.11175
100,worst,divide,0.03335
100,miss,brute,3.4
100,miss,rowBS,0.04315
100,miss,stair,0.0591
100,miss,divide,0.00215
500,best,brute,0.135
500,best,rowBS,0.0068
500,best,stair,0.00245
500,best,divide,1.3449
500,middle,brute,33.77
500,middle,rowBS,0.1848
500,middle,stair,0.3171
500,middle,divide,0.67275
500,worst,brute,57.925
500,worst,rowBS,0.3137
500,worst,stair,0.56665
500,worst,divide,0.0388
500,miss,brute,66.43
500,miss,rowBS,0.32695
500,miss,stair,0.32125
500,miss,divide,0.0021
1000,best,brute,0.22
1000,best,rowBS,0.0062
1000,best,stair,0.0016
1000,best,divide,2.9392
1000,middle,brute,133.54
1000,middle,rowBS,0.3996
1000,middle,stair,0.6616
1000,middle,divide,1.1908
1000,worst,brute,249.74
1000,worst,rowBS,0.7792
1000,worst,stair,1.3282
1000,worst,divide,0.0402
1000,miss,brute,238.74
1000,miss,rowBS,0.7068
1000,miss,stair,0.6292
1000,miss,divide,0.0024
1500,best,brute,0.38
1500,best,rowBS,0.0074
1500,best,stair,0.0022
1500,best,divide,2.7226
1500,middle,brute,270.26
1500,middle,rowBS,0.5546
1500,middle,stair,1.226
1500,middle,divide,1.4594
1500,worst,brute,599.06
1500,worst,rowBS,1.204
1500,worst,stair,1.926
1500,worst,divide,0.0434
1500,miss,brute,706.6
1500,miss,rowBS,1.5148
1500,miss,stair,1.4198
1500,miss,divide,0.0022
2000,best,brute,0.45
2000,best,rowBS,0.007
2000,best,stair,0.002
2000,best,divide,5.5785
2000,middle,brute,703.9
2000,middle,rowBS,0.6985
2000,middle,stair,1.3425
2000,middle,divide,2.7375
2000,worst,brute,2048.25
2000,worst,rowBS,8.1135
2000,worst,stair,3.6415
2000,worst,divide,0.053
2000,miss,brute,1379.95
2000,miss,rowBS,7.0615
2000,miss,stair,2.716
2000,miss,divide,0.002
2500,best,brute,0.7
2500,best,rowBS,0.0065
2500,best,stair,0.002
2500,best,divide,5.6385
2500,middle,brute,1326.65
2500,middle,rowBS,1.251
2500,middle,stair,1.9495
2500,middle,divide,4.5755
2500,worst,brute,3809.2
2500,worst,rowBS,13.91
2500,worst,stair,7.958
2500,worst,divide,0.049
2500,miss,brute,2651.5
2500,miss,rowBS,13.74
2500,miss,stair,6.3215
2500,miss,divide,0.002
3000,best,brute,3.65
3000,best,rowBS,0.009
3000,best,stair,0.003
3000,best,divide,6.0645
3000,middle,brute,2233.35
3000,middle,rowBS,6.6445
3000,middle,stair,2.3505
3000,middle,divide,2.605
3000,worst,brute,3911
3000,worst,rowBS,20.3965
3000,worst,stair,11.69
3000,worst,divide,0.047
3000,miss,brute,4325.55
3000,miss,rowBS,19.7325
3000,miss,stair,8.4875
3000,miss,divide,0.0025
